"Latitude.1" "Longitude.1" "Latitude.2" "Longitude.2"
"103" 41.84680058 -87.63719087 41.678975 -87.620001
"104" 41.84680058 -87.63719087 41.760931 -87.650572
"105" 41.84680058 -87.63719087 41.849804 -87.71032819
"106" 41.84680058 -87.63719087 41.77901233 -87.57797961
"107" 41.84680058 -87.63719087 41.79762476 -87.65496442
"108" 41.84680058 -87.63719087 41.889555 -87.723647
"109" 41.84680058 -87.63719087 41.747318 -87.602643
"110" 41.691694 -87.668627 41.792587 -87.703529
"111" 41.691694 -87.668627 41.747766 -87.652453
"112" 41.691694 -87.668627 41.906927 -87.632333
"113" 41.691694 -87.668627 41.737365 -87.561959
"114" 41.691694 -87.668627 41.756048 -87.655352
"115" 41.691694 -87.668627 41.836252 -87.719729
"116" 41.691694 -87.668627 41.89508812 -87.73592296
"117" 41.691694 -87.668627 41.756007 -87.635876
"118" 41.87160344 -87.7278045 41.867488 -87.714421
"119" 41.87160344 -87.7278045 41.898839 -87.747533
"120" 41.87160344 -87.7278045 41.779213 -87.681091
"121" 41.87160344 -87.7278045 41.752304 -87.644085
"122" 41.87160344 -87.7278045 42.001713 -87.665622
"123" 41.87160344 -87.7278045 41.791971 -87.664773
"124" 41.87160344 -87.7278045 41.758382 -87.616531
"125" 41.87160344 -87.7278045 41.76968445 -87.58373152
"126" 41.75307 -87.576839 41.777662 -87.644434
"127" 41.75307 -87.576839 41.767296 -87.575448
"128" 41.90746383 -87.63744904 41.903792 -87.638445
"129" 41.90746383 -87.63744904 41.688764 -87.621262
"130" 41.867488 -87.714421 41.779213 -87.681091
"131" 41.867488 -87.714421 41.752304 -87.644085
"132" 41.867488 -87.714421 42.001713 -87.665622
"133" 41.867488 -87.714421 41.758382 -87.616531
"134" 41.867488 -87.714421 41.76968445 -87.58373152
"135" 41.73647614 -87.54185761 41.67016 -87.628013
"136" 41.77431599 -87.64459275 41.790117 -87.66718
"137" 41.77431599 -87.64459275 41.953183 -87.703346
"138" 41.77431599 -87.64459275 41.710707 -87.644894
"139" 41.77431599 -87.64459275 41.736456 -87.6626
"140" 41.77431599 -87.64459275 41.896883 -87.692914
"141" 41.77431599 -87.64459275 41.783177 -87.659451
"142" 41.77431599 -87.64459275 41.89655531 -87.7703173
"143" 41.77431599 -87.64459275 41.887807 -87.707244
"144" 41.77431599 -87.64459275 41.928032 -87.641545
"145" 41.77431599 -87.64459275 41.705616 -87.64239
"146" 41.77431599 -87.64459275 41.751327 -87.601476
"147" 41.77431599 -87.64459275 41.89008 -87.705565
"148" 41.77431599 -87.64459275 41.820985 -87.616655
"149" 41.77431599 -87.64459275 41.750642 -87.644044
"150" 41.77431599 -87.64459275 41.999316 -87.671025
"151" 41.879779 -87.768181 41.89814353 -87.72128663
"152" 41.879779 -87.768181 41.749938 -87.674973
"153" 41.879779 -87.768181 41.802177 -87.610752
"154" 41.879779 -87.768181 41.746835 -87.547541
"155" 41.89814353 -87.72128663 41.749938 -87.674973
"156" 41.89814353 -87.72128663 41.802177 -87.610752
"157" 41.89814353 -87.72128663 41.746835 -87.547541
"158" 41.84786402 -87.72710576 41.767893 -87.64351
"159" 41.84786402 -87.72710576 41.799886 -87.697934
"160" 41.84786402 -87.72710576 41.68677 -87.64012
"161" 41.84786402 -87.72710576 41.838834 -87.704867
"162" 41.84786402 -87.72710576 41.753311 -87.667499
"163" 41.84786402 -87.72710576 41.747782 -87.662496
"164" 41.84786402 -87.72710576 41.87822 -87.766417
"165" 41.84786402 -87.72710576 41.72919521 -87.65408251
"166" 41.84786402 -87.72710576 41.75230412 -87.67079071
"167" 41.84786402 -87.72710576 41.846365 -87.702638
"168" 41.84786402 -87.72710576 41.704767 -87.529429
"169" 41.84786402 -87.72710576 41.799059 -87.686844
"170" 41.84786402 -87.72710576 41.765057 -87.62899
"171" 41.84786402 -87.72710576 41.768219 -87.659846
"172" 41.84786402 -87.72710576 41.767618 -87.608773
"173" 41.84786402 -87.72710576 41.90845297 -87.77055367
"174" 41.84786402 -87.72710576 41.999316 -87.671025
"175" 41.84786402 -87.72710576 41.794026 -87.689955
"176" 41.84786402 -87.72710576 42.01260742 -87.67882377
"177" 41.84786402 -87.72710576 41.909938 -87.73688
"178" 41.84786402 -87.72710576 41.890002 -87.632634
"179" 41.84786402 -87.72710576 41.872181 -87.696349
"180" 41.84786402 -87.72710576 41.670395 -87.641165
"181" 41.790117 -87.66718 41.953183 -87.703346
"182" 41.790117 -87.66718 41.710707 -87.644894
"183" 41.790117 -87.66718 41.783177 -87.659451
"184" 41.790117 -87.66718 41.89655531 -87.7703173
"185" 41.790117 -87.66718 41.887807 -87.707244
"186" 41.790117 -87.66718 41.928032 -87.641545
"187" 41.790117 -87.66718 41.705616 -87.64239
"188" 41.790117 -87.66718 41.751327 -87.601476
"189" 41.790117 -87.66718 41.89008 -87.705565
"190" 41.790117 -87.66718 41.895158 -87.751602
"191" 41.790117 -87.66718 41.750642 -87.644044
"192" 41.790117 -87.66718 41.999316 -87.671025
"193" 41.76338157 -87.64921803 41.773649 -87.664399
"194" 41.76338157 -87.64921803 41.779383 -87.669079
"195" 41.76338157 -87.64921803 41.85602 -87.682031
"196" 41.76338157 -87.64921803 41.743097 -87.645335
"197" 41.76338157 -87.64921803 41.99526955 -87.7649838
"198" 41.76338157 -87.64921803 41.677152 -87.63225
"199" 41.76338157 -87.64921803 41.837504 -87.646622
"200" 41.76338157 -87.64921803 41.96083216 -87.73765517
"201" 41.76338157 -87.64921803 41.779651 -87.660835
"202" 41.76338157 -87.64921803 41.768622 -87.659066
"203" 41.76338157 -87.64921803 41.90859558 -87.76076524
"204" 41.76338157 -87.64921803 41.749244 -87.559197
"205" 41.76338157 -87.64921803 41.897299 -87.720205
"206" 41.723949 -87.604822 41.67822115 -87.64913797
"207" 41.723949 -87.604822 41.773713 -87.665547
"208" 41.723949 -87.604822 41.889732 -87.755595
"209" 41.723949 -87.604822 41.752161 -87.601203
